Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
2,-1,VFL Stockholm,6,4,0,2,12,6,6,12,Season 61527
3,-1,VFL Paris,6,4,0,2,9,10,-1,12,Season 61527
4,1,VFL Amsterdam,6,3,2,1,7,5,2,11,Season 61527
5,0,VFL Athens,6,2,4,0,7,3,4,10,Season 61527
6,-1,VFL Madrid,6,3,1,2,9,8,1,10,Season 61527
7,1,VFL Vienna,6,3,1,2,11,11,0,10,Season 61527
8,1,VFL Oslo,6,3,0,3,10,6,4,9,Season 61527
9,0,VFL Lisbon,6,2,3,1,7,4,3,9,Season 61527
10,0,VFL Berlin,6,2,2,2,6,4,2,8,Season 61527
11,0,VFL Rome,6,2,2,2,7,9,-2,8,Season 61527
12,-1,VFL Brussels,6,2,1,3,5,8,-3,7,Season 61527
13,1,VFL Copenhagen,6,1,3,2,3,3,0,6,Season 61527
14,1,VFL Edinburgh,6,1,2,3,5,8,-3,5,Season 61527
15,-1,VFL Bern,6,1,0,5,4,11,-7,3,Season 61527
16,1,VFL Ankara,6,0,1,5,2,15,-13,1,Season 61527
1,0,VFL London,7,5,0,2,13,5,8,15,Season 61527
2,0,VFL Stockholm,7,4,1,2,13,7,6,13,Season 61527
3,-1,VFL Athens,7,3,4,0,9,4,5,13,Season 61527
4,-1,VFL Madrid,7,4,1,2,13,9,4,13,Season 61527
5,-1,VFL Oslo,7,4,0,3,13,7,6,12,Season 61527
6,-1,VFL Lisbon,7,3,3,1,9,5,4,12,Season 61527
7,1,VFL Amsterdam,7,3,3,1,8,6,2,12,Season 61527
8,1,VFL Paris,7,4,0,3,10,14,-4,12,Season 61527
9,-1,VFL Berlin,7,3,2,2,7,4,3,11,Season 61527
10,1,VFL Vienna,7,3,1,3,12,13,-1,10,Season 61527
11,0,VFL Rome,7,2,2,3,8,12,-4,8,Season 61527
12,0,VFL Brussels,7,2,1,4,7,11,-4,7,Season 61527
13,0,VFL Copenhagen,7,1,3,3,4,5,-1,6,Season 61527
14,0,VFL Edinburgh,7,1,2,4,5,9,-4,5,Season 61527
15,-1,VFL Ankara,7,1,1,5,4,16,-12,4,Season 61527
16,1,VFL Bern,7,1,0,6,5,13,-8,3,Season 61527
1,-1,VFL Stockholm,8,5,1,2,16,9,7,16,Season 61527
2,-1,VFL Lisbon,8,4,3,1,13,6,7,15,Season 61527
3,1,VFL London,8,5,0,3,13,7,6,15,Season 61527
4,-1,VFL Amsterdam,8,4,3,1,9,6,3,15,Season 61527
5,-1,VFL Paris,8,5,0,3,12,15,-3,15,Season 61527
6,1,VFL Madrid,8,4,2,2,14,10,4,14,Season 61527
7,1,VFL Athens,8,3,4,1,10,6,4,13,Season 61527
8,1,VFL Oslo,8,4,0,4,15,10,5,12,Season 61527
9,0,VFL Berlin,8,3,3,2,8,5,3,12,Season 61527
10,-1,VFL Rome,8,3,2,3,10,13,-3,11,Season 61527
11,1,VFL Vienna,8,3,1,4,12,14,-2,10,Season 61527
12,0,VFL Brussels,8,3,1,4,8,11,-3,10,Season 61527
13,0,VFL Copenhagen,8,2,3,3,6,5,1,9,Season 61527
14,0,VFL Edinburgh,8,1,2,5,5,10,-5,5,Season 61527
15,0,VFL Ankara,8,1,1,6,5,20,-15,4,Season 61527
16,0,VFL Bern,8,1,0,7,6,15,-9,3,Season 61527
1,0,VFL Stockholm,9,6,1,2,18,9,9,19,Season 61527
2,-1,VFL London,9,6,0,3,17,7,10,18,Season 61527
3,-1,VFL Madrid,9,5,2,2,17,10,7,17,Season 61527
4,1,VFL Lisbon,9,4,4,1,14,7,7,16,Season 61527
5,1,VFL Amsterdam,9,4,4,1,10,7,3,16,Season 61527
6,1,VFL Paris,9,5,1,3,14,17,-3,16,Season 61527
7,-1,VFL Berlin,9,4,3,2,11,5,6,15,Season 61527
8,0,VFL Oslo,9,4,1,4,16,11,5,13,Season 61527
9,1,VFL Athens,9,3,4,2,10,8,2,13,Season 61527
10,-1,VFL Copenhagen,9,3,3,3,8,5,3,12,Season 61527
11,1,VFL Rome,9,3,3,3,12,15,-3,12,Season 61527
12,1,VFL Vienna,9,3,2,4,13,15,-2,11,Season 61527
13,1,VFL Brussels,9,3,1,5,8,14,-6,10,Season 61527
14,0,VFL Edinburgh,9,1,2,6,5,12,-7,5,Season 61527
15,0,VFL Ankara,9,1,1,7,5,24,-19,4,Season 61527
16,0,VFL Bern,9,1,0,8,6,18,-12,3,Season 61527
1,0,VFL Stockholm,10,6,1,3,18,10,8,19,Season 61527
2,-1,VFL Lisbon,10,5,4,1,16,8,8,19,Season 61527
3,-1,VFL Paris,10,6,1,3,15,17,-2,19,Season 61527
4,1,VFL London,10,6,0,4,18,9,9,18,Season 61527
5,-1,VFL Berlin,10,5,3,2,14,5,9,18,Season 61527
6,1,VFL Madrid,10,5,3,2,18,11,7,18,Season 61527
7,1,VFL Amsterdam,10,4,5,1,11,8,3,17,Season 61527
8,-1,VFL Athens,10,4,4,2,15,9,6,16,Season 61527
9,1,VFL Oslo,10,4,2,4,17,12,5,14,Season 61527
10,0,VFL Copenhagen,10,3,4,3,9,6,3,13,Season 61527
11,0,VFL Rome,10,3,3,4,12,18,-6,12,Season 61527
12,0,VFL Vienna,10,3,2,5,14,20,-6,11,Season 61527
13,0,VFL Brussels,10,3,2,5,9,15,-6,11,Season 61527
14,0,VFL Edinburgh,10,1,3,6,6,13,-7,6,Season 61527
15,0,VFL Ankara,10,1,2,7,6,25,-19,5,Season 61527
16,0,VFL Bern,10,1,1,8,7,19,-12,4,Season 61527
1,-1,VFL Berlin,11,6,3,2,16,5,11,21,Season 61527
2,-1,VFL Madrid,11,6,3,2,19,11,8,21,Season 61527
3,-1,VFL Amsterdam,11,5,5,1,15,9,6,20,Season 61527
4,1,VFL Lisbon,11,5,4,2,17,10,7,19,Season 61527
5,1,VFL Stockholm,11,6,1,4,18,12,6,19,Season 61527
6,1,VFL Paris,11,6,1,4,15,18,-3,19,Season 61527
7,1,VFL London,11,6,0,5,19,11,8,18,Season 61527
8,-1,VFL Oslo,11,5,2,4,19,13,6,17,Season 61527
9,1,VFL Athens,11,4,4,3,16,13,3,16,Season 61527
10,0,VFL Copenhagen,11,3,5,3,10,7,3,14,Season 61527
11,-1,VFL Vienna,11,4,2,5,15,20,-5,14,Season 61527
12,1,VFL Rome,11,3,4,4,12,18,-6,13,Season 61527
13,0,VFL Brussels,11,3,3,5,9,15,-6,12,Season 61527
14,0,VFL Edinburgh,11,2,3,6,8,14,-6,9,Season 61527
15,-1,VFL Bern,11,1,2,8,8,20,-12,5,Season 61527
16,1,VFL Ankara,11,1,2,8,6,26,-20,5,Season 61527
1,0,VFL Berlin,12,7,3,2,19,6,13,24,Season 61527
2,-1,VFL Amsterdam,12,6,5,1,16,9,7,23,Season 61527
3,1,VFL Madrid,12,6,4,2,21,13,8,22,Season 61527
4,-1,VFL Stockholm,12,7,1,4,19,12,7,22,Season 61527
5,-1,VFL London,12,6,1,5,21,13,8,19,Season 61527
6,1,VFL Lisbon,12,5,4,3,18,12,6,19,Season 61527
7,1,VFL Paris,12,6,1,5,15,19,-4,19,Season 61527
8,0,VFL Oslo,12,5,3,4,20,14,6,18,Season 61527
9,-1,VFL Copenhagen,12,4,5,3,11,7,4,17,Season 61527
10,1,VFL Athens,12,4,5,3,17,14,3,17,Season 61527
11,0,VFL Vienna,12,4,2,6,16,23,-7,14,Season 61527
12,0,VFL Rome,12,3,4,5,12,19,-7,13,Season 61527
13,-1,VFL Edinburgh,12,3,3,6,10,15,-5,12,Season 61527
14,1,VFL Brussels,12,3,3,6,9,16,-7,12,Season 61527
15,-1,VFL Ankara,12,2,2,8,8,26,-18,8,Season 61527
16,1,VFL Bern,12,1,2,9,8,22,-14,5,Season 61527
1,0,VFL Berlin,13,7,4,2,21,8,13,25,Season 61527
2,-1,VFL Madrid,13,7,4,2,23,13,10,25,Season 61527
3,-1,VFL Stockholm,13,8,1,4,20,12,8,25,Season 61527
4,1,VFL Amsterdam,13,6,6,1,18,11,7,24,Season 61527
5,-1,VFL Lisbon,13,6,4,3,20,12,8,22,Season 61527
6,-1,VFL Oslo,13,6,3,4,22,14,8,21,Season 61527
7,1,VFL London,13,6,1,6,22,15,7,19,Season 61527
8,1,VFL Paris,13,6,1,6,15,21,-6,19,Season 61527
9,0,VFL Copenhagen,13,4,5,4,11,8,3,17,Season 61527
10,0,VFL Athens,13,4,5,4,17,16,1,17,Season 61527
11,0,VFL Vienna,13,5,2,6,18,24,-6,17,Season 61527
12,0,VFL Rome,13,4,4,5,13,19,-6,16,Season 61527
13,0,VFL Edinburgh,13,3,3,7,10,17,-7,12,Season 61527
14,0,VFL Brussels,13,3,3,7,10,18,-8,12,Season 61527
15,-1,VFL Bern,13,2,2,9,10,23,-13,8,Season 61527
16,1,VFL Ankara,13,2,2,9,8,27,-19,8,Season 61527
1,0,VFL Berlin,14,8,4,2,23,9,14,28,Season 61527
2,0,VFL Madrid,14,8,4,2,24,13,11,28,Season 61527
3,0,VFL Stockholm,14,9,1,4,22,12,10,28,Season 61527
4,0,VFL Amsterdam,14,6,6,2,18,12,6,24,Season 61527
5,0,VFL Lisbon,14,6,4,4,20,13,7,22,Season 61527
6,-1,VFL Paris,14,7,1,6,16,21,-5,22,Season 61527
7,1,VFL Oslo,14,6,3,5,23,16,7,21,Season 61527
8,-1,VFL Copenhagen,14,5,5,4,12,8,4,20,Season 61527
9,1,VFL London,14,6,1,7,24,19,5,19,Season 61527
10,-1,VFL Rome,14,5,4,5,17,21,-4,19,Season 61527
11,1,VFL Athens,14,4,5,5,17,17,0,17,Season 61527
12,1,VFL Vienna,14,5,2,7,18,25,-7,17,Season 61527
13,-1,VFL Brussels,14,4,3,7,11,18,-7,15,Season 61527
14,1,VFL Edinburgh,14,3,4,7,11,18,-7,13,Season 61527
15,0,VFL Bern,14,2,3,9,11,24,-13,9,Season 61527
16,0,VFL Ankara,14,2,2,10,8,29,-21,8,Season 61527
1,-1,VFL Stockholm,15,10,1,4,26,14,12,31,Season 61527
2,1,VFL Berlin,15,8,5,2,24,10,14,29,Season 61527
3,1,VFL Madrid,15,8,4,3,25,16,9,28,Season 61527
4,0,VFL Amsterdam,15,7,6,2,19,12,7,27,Season 61527
5,0,VFL Lisbon,15,6,5,4,20,13,7,23,Season 61527
6,0,VFL Paris,15,7,2,6,16,21,-5,23,Season 61527
7,0,VFL Oslo,15,6,4,5,23,16,7,22,Season 61527
8,-1,VFL Rome,15,6,4,5,18,21,-3,22,Season 61527
9,1,VFL Copenhagen,15,5,5,5,12,9,3,20,Season 61527
10,1,VFL London,15,6,1,8,26,23,3,19,Season 61527
11,0,VFL Athens,15,4,6,5,18,18,0,18,Season 61527
12,0,VFL Vienna,15,5,2,8,19,28,-9,17,Season 61527
13,0,VFL Brussels,15,4,4,7,11,18,-7,16,Season 61527
14,0,VFL Edinburgh,15,3,4,8,11,19,-8,13,Season 61527
15,0,VFL Bern,15,3,3,9,14,25,-11,12,Season 61527
16,0,VFL Ankara,15,3,2,10,11,30,-19,11,Season 61527
1,0,VFL Stockholm,16,11,1,4,27,14,13,34,Season 61527
2,-1,VFL Amsterdam,16,8,6,2,20,12,8,30,Season 61527
3,1,VFL Berlin,16,8,5,3,26,13,13,29,Season 61527
4,1,VFL Madrid,16,8,4,4,26,18,8,28,Season 61527
5,0,VFL Lisbon,16,7,5,4,21,13,8,26,Season 61527
6,0,VFL Paris,16,8,2,6,19,23,-4,26,Season 61527
7,0,VFL Oslo,16,7,4,5,29,16,13,25,Season 61527
8,0,VFL Rome,16,7,4,5,20,22,-2,25,Season 61527
9,-1,VFL London,16,6,2,8,27,24,3,20,Season 61527
10,1,VFL Copenhagen,16,5,5,6,12,15,-3,20,Season 61527
11,0,VFL Athens,16,4,7,5,18,18,0,19,Season 61527
12,0,VFL Vienna,16,5,3,8,20,29,-9,18,Season 61527
13,0,VFL Brussels,16,4,5,7,11,18,-7,17,Season 61527
14,0,VFL Edinburgh,16,3,4,9,11,20,-9,13,Season 61527
15,0,VFL Bern,16,3,3,10,14,26,-12,12,Season 61527
16,0,VFL Ankara,16,3,2,11,11,31,-20,11,Season 61527
1,0,VFL Stockholm,17,12,1,4,29,15,14,37,Season 61527
2,-1,VFL Berlin,17,9,5,3,29,13,16,32,Season 61527
3,1,VFL Amsterdam,17,8,7,2,22,14,8,31,Season 61527
4,-1,VFL Paris,17,9,2,6,21,24,-3,29,Season 61527
5,-1,VFL Oslo,17,8,4,5,31,17,14,28,Season 61527
6,1,VFL Madrid,17,8,4,5,27,20,7,28,Season 61527
7,-1,VFL Rome,17,8,4,5,22,22,0,28,Season 61527
8,1,VFL Lisbon,17,7,5,5,21,16,5,26,Season 61527
9,-1,VFL Athens,17,5,7,5,19,18,1,22,Season 61527
10,1,VFL London,17,6,3,8,29,26,3,21,Season 61527
11,1,VFL Copenhagen,17,5,5,7,12,16,-4,20,Season 61527
12,0,VFL Vienna,17,5,3,9,20,31,-11,18,Season 61527
13,0,VFL Brussels,17,4,5,8,12,20,-8,17,Season 61527
14,0,VFL Edinburgh,17,4,4,9,13,20,-7,16,Season 61527
15,0,VFL Bern,17,3,3,11,14,28,-14,12,Season 61527
16,0,VFL Ankara,17,3,2,12,12,33,-21,11,Season 61527
1,0,VFL Stockholm,18,12,2,4,31,17,14,38,Season 61527
2,0,VFL Berlin,18,9,6,3,29,13,16,33,Season 61527
3,0,VFL Amsterdam,18,8,8,2,25,17,8,32,Season 61527
4,0,VFL Paris,18,10,2,6,24,24,0,32,Season 61527
5,0,VFL Oslo,18,9,4,5,34,19,15,31,Season 61527
6,0,VFL Madrid,18,9,4,5,28,20,8,31,Season 61527
7,-1,VFL Lisbon,18,8,5,5,22,16,6,29,Season 61527
8,1,VFL Rome,18,8,4,6,22,23,-1,28,Season 61527
9,0,VFL Athens,18,5,7,6,21,22,-1,22,Season 61527
10,0,VFL London,18,6,3,9,31,29,2,21,Season 61527
11,0,VFL Copenhagen,18,5,5,8,12,19,-7,20,Season 61527
12,-1,VFL Brussels,18,4,6,8,12,20,-8,18,Season 61527
13,1,VFL Vienna,18,5,3,10,20,32,-12,18,Season 61527
14,0,VFL Edinburgh,18,4,5,9,16,23,-7,17,Season 61527
15,-1,VFL Ankara,18,4,2,12,16,35,-19,14,Season 61527
16,1,VFL Bern,18,3,4,11,16,30,-14,13,Season 61527
1,0,VFL Stockholm,19,13,2,4,32,17,15,41,Season 61527
2,-1,VFL Amsterdam,19,9,8,2,27,18,9,35,Season 61527
3,1,VFL Berlin,19,9,7,3,29,13,16,34,Season 61527
4,-1,VFL Oslo,19,9,5,5,36,21,15,32,Season 61527
5,1,VFL Paris,19,10,2,7,24,26,-2,32,Season 61527
6,0,VFL Madrid,19,9,4,6,29,22,7,31,Season 61527
7,0,VFL Lisbon,19,8,6,5,22,16,6,30,Season 61527
8,0,VFL Rome,19,8,4,7,22,24,-2,28,Season 61527
9,-1,VFL London,19,7,3,9,32,29,3,24,Season 61527
10,1,VFL Athens,19,5,7,7,21,23,-2,22,Season 61527
11,0,VFL Copenhagen,19,5,6,8,12,19,-7,21,Season 61527
12,0,VFL Brussels,19,4,7,8,12,20,-8,19,Season 61527
13,0,VFL Vienna,19,5,4,10,22,34,-12,19,Season 61527
14,0,VFL Edinburgh,19,4,6,9,18,25,-7,18,Season 61527
15,0,VFL Ankara,19,5,2,12,18,35,-17,17,Season 61527
16,0,VFL Bern,19,3,5,11,18,32,-14,14,Season 61527
1,0,VFL Stockholm,20,13,3,4,32,17,15,42,Season 61527
2,0,VFL Amsterdam,20,10,8,2,29,18,11,38,Season 61527
3,0,VFL Berlin,20,10,7,3,32,14,18,37,Season 61527
4,0,VFL Oslo,20,10,5,5,38,22,16,35,Season 61527
5,0,VFL Paris,20,11,2,7,26,26,0,35,Season 61527
6,0,VFL Madrid,20,9,4,7,30,24,6,31,Season 61527
7,0,VFL Lisbon,20,8,7,5,22,16,6,31,Season 61527
8,0,VFL Rome,20,8,5,7,23,25,-2,29,Season 61527
9,-1,VFL Athens,20,6,7,7,23,23,0,25,Season 61527
10,1,VFL London,20,7,3,10,32,31,1,24,Season 61527
11,-1,VFL Brussels,20,5,7,8,14,21,-7,22,Season 61527
12,1,VFL Copenhagen,20,5,6,9,13,21,-8,21,Season 61527
13,0,VFL Vienna,20,5,5,10,23,35,-12,20,Season 61527
14,0,VFL Edinburgh,20,4,6,10,18,27,-9,18,Season 61527
15,0,VFL Ankara,20,5,2,13,19,38,-19,17,Season 61527
16,0,VFL Bern,20,3,5,12,18,34,-16,14,Season 61527
1,0,VFL Stockholm,21,14,3,4,34,18,16,45,Season 61527
2,0,VFL Amsterdam,21,10,9,2,30,19,11,39,Season 61527
3,-1,VFL Oslo,21,11,5,5,41,23,18,38,Season 61527
4,-1,VFL Paris,21,12,2,7,27,26,1,38,Season 61527
5,1,VFL Berlin,21,10,7,4,32,16,16,37,Season 61527
6,0,VFL Madrid,21,10,4,7,34,25,9,34,Season 61527
7,0,VFL Lisbon,21,9,7,5,24,17,7,34,Season 61527
8,0,VFL Rome,21,8,6,7,24,26,-2,30,Season 61527
9,-1,VFL London,21,8,3,10,34,31,3,27,Season 61527
10,1,VFL Athens,21,6,7,8,24,27,-3,25,Season 61527
11,0,VFL Brussels,21,5,7,9,15,23,-8,22,Season 61527
12,0,VFL Copenhagen,21,5,6,10,14,23,-9,21,Season 61527
13,0,VFL Vienna,21,5,5,11,24,37,-13,20,Season 61527
14,-1,VFL Ankara,21,6,2,13,21,39,-18,20,Season 61527
15,1,VFL Edinburgh,21,4,6,11,18,28,-10,18,Season 61527
16,0,VFL Bern,21,3,5,13,19,37,-18,14,Season 61527
1,0,VFL Stockholm,22,14,3,5,35,20,15,45,Season 61527
2,0,VFL Amsterdam,22,11,9,2,32,20,12,42,Season 61527
3,-1,VFL Berlin,22,11,7,4,34,16,18,40,Season 61527
4,0,VFL Paris,22,12,3,7,28,27,1,39,Season 61527
5,1,VFL Oslo,22,11,5,6,41,26,15,38,Season 61527
6,-1,VFL Lisbon,22,10,7,5,28,17,11,37,Season 61527
7,1,VFL Madrid,22,10,5,7,35,26,9,35,Season 61527
8,0,VFL Rome,22,9,6,7,27,26,1,33,Season 61527
9,0,VFL London,22,9,3,10,36,32,4,30,Season 61527
10,0,VFL Athens,22,7,7,8,27,29,-2,28,Season 61527
11,-1,VFL Copenhagen,22,6,6,10,15,23,-8,24,Season 61527
12,1,VFL Brussels,22,5,7,10,16,25,-9,22,Season 61527
13,0,VFL Vienna,22,5,5,12,24,41,-17,20,Season 61527
14,0,VFL Ankara,22,6,2,14,21,40,-19,20,Season 61527
15,0,VFL Edinburgh,22,4,6,12,18,30,-12,18,Season 61527
16,0,VFL Bern,22,3,5,14,21,40,-19,14,Season 61527
1,0,VFL Stockholm,23,14,3,6,36,22,14,45,Season 61527
2,0,VFL Amsterdam,23,12,9,2,33,20,13,45,Season 61527
3,-1,VFL Oslo,23,12,5,6,43,27,16,41,Season 61527
4,1,VFL Berlin,23,11,7,5,35,20,15,40,Season 61527
5,1,VFL Paris,23,12,4,7,29,28,1,40,Season 61527
6,-1,VFL Madrid,23,11,5,7,39,27,12,38,Season 61527
7,1,VFL Lisbon,23,10,7,6,30,21,9,37,Season 61527
8,0,VFL Rome,23,10,6,7,30,26,4,36,Season 61527
9,0,VFL London,23,10,3,10,39,32,7,33,Season 61527
10,0,VFL Athens,23,7,7,9,27,32,-5,28,Season 61527
11,-1,VFL Brussels,23,6,7,10,17,25,-8,25,Season 61527
12,1,VFL Copenhagen,23,6,6,11,15,26,-11,24,Season 61527
13,-1,VFL Ankara,23,7,2,14,25,42,-17,23,Season 61527
14,1,VFL Vienna,23,5,5,13,24,42,-18,20,Season 61527
15,0,VFL Edinburgh,23,4,6,13,18,31,-13,18,Season 61527
16,0,VFL Bern,23,3,6,14,22,41,-19,15,Season 61527
1,0,VFL Stockholm,24,14,3,7,36,23,13,45,Season 61527
2,0,VFL Amsterdam,24,12,9,3,33,21,12,45,Season 61527
3,-1,VFL Berlin,24,12,7,5,37,20,17,43,Season 61527
4,1,VFL Oslo,24,12,6,6,44,28,16,42,Season 61527
5,0,VFL Paris,24,12,5,7,30,29,1,41,Season 61527
6,-1,VFL Lisbon,24,11,7,6,31,21,10,40,Season 61527
7,1,VFL Madrid,24,11,5,8,39,28,11,38,Season 61527
8,0,VFL Rome,24,10,7,7,31,27,4,37,Season 61527
9,0,VFL London,24,11,3,10,41,33,8,36,Season 61527
10,0,VFL Athens,24,8,7,9,28,32,-4,31,Season 61527
11,0,VFL Brussels,24,7,7,10,18,25,-7,28,Season 61527
12,0,VFL Copenhagen,24,7,6,11,17,26,-9,27,Season 61527
13,0,VFL Ankara,24,7,2,15,26,44,-18,23,Season 61527
14,0,VFL Vienna,24,5,6,13,25,43,-18,21,Season 61527
15,0,VFL Edinburgh,24,4,6,14,18,33,-15,18,Season 61527
16,0,VFL Bern,24,3,6,15,22,43,-21,15,Season 61527
1,-1,VFL Amsterdam,25,13,9,3,36,21,15,48,Season 61527
2,1,VFL Stockholm,25,14,4,7,37,24,13,46,Season 61527
3,0,VFL Berlin,25,12,7,6,38,24,14,43,Season 61527
4,0,VFL Oslo,25,12,6,7,44,31,13,42,Season 61527
5,0,VFL Paris,25,12,6,7,31,30,1,42,Season 61527
6,-1,VFL Madrid,25,12,5,8,41,28,13,41,Season 61527
7,1,VFL Lisbon,25,11,7,7,33,24,9,40,Season 61527
8,0,VFL Rome,25,11,7,7,35,28,7,40,Season 61527
9,0,VFL London,25,12,3,10,44,35,9,39,Season 61527
10,0,VFL Athens,25,8,8,9,28,32,-4,32,Season 61527
11,0,VFL Brussels,25,8,7,10,20,26,-6,31,Season 61527
12,0,VFL Copenhagen,25,7,6,12,17,28,-11,27,Season 61527
13,0,VFL Ankara,25,7,3,15,27,45,-18,24,Season 61527
14,0,VFL Vienna,25,5,7,13,25,43,-18,22,Season 61527
15,0,VFL Edinburgh,25,4,7,14,19,34,-15,19,Season 61527
16,0,VFL Bern,25,3,6,16,23,45,-22,15,Season 61527
1,0,VFL Amsterdam,26,13,9,4,36,22,14,48,Season 61527
2,0,VFL Stockholm,26,14,5,7,38,25,13,47,Season 61527
3,0,VFL Berlin,26,12,8,6,39,25,14,44,Season 61527
4,-1,VFL Lisbon,26,12,7,7,35,25,10,43,Season 61527
5,-1,VFL Madrid,26,12,6,8,42,29,13,42,Season 61527
6,-1,VFL London,26,13,3,10,47,35,12,42,Season 61527
7,1,VFL Oslo,26,12,6,8,45,33,12,42,Season 61527
8,1,VFL Paris,26,12,6,8,31,31,0,42,Season 61527
9,1,VFL Rome,26,11,7,8,36,30,6,40,Season 61527
10,0,VFL Athens,26,9,8,9,29,32,-3,35,Season 61527
11,0,VFL Brussels,26,9,7,10,22,27,-5,34,Season 61527
12,0,VFL Copenhagen,26,8,6,12,19,28,-9,30,Season 61527
13,-1,VFL Vienna,26,6,7,13,26,43,-17,25,Season 61527
14,1,VFL Ankara,26,7,4,15,28,46,-18,25,Season 61527
15,0,VFL Edinburgh,26,4,7,15,19,37,-18,19,Season 61527
16,0,VFL Bern,26,3,6,17,23,47,-24,15,Season 61527
1,0,VFL Amsterdam,27,14,9,4,37,22,15,51,Season 61527
2,0,VFL Stockholm,27,15,5,7,41,27,14,50,Season 61527
3,-1,VFL Oslo,27,13,6,8,48,35,13,45,Season 61527
4,1,VFL Berlin,27,12,8,7,39,26,13,44,Season 61527
5,0,VFL Madrid,27,12,7,8,43,30,13,43,Season 61527
6,0,VFL London,27,13,4,10,48,36,12,43,Season 61527
7,-1,VFL Rome,27,12,7,8,40,31,9,43,Season 61527
8,1,VFL Lisbon,27,12,7,8,35,27,8,43,Season 61527
9,1,VFL Paris,27,12,6,9,31,32,-1,42,Season 61527
10,0,VFL Athens,27,9,8,10,31,35,-4,35,Season 61527
11,0,VFL Brussels,27,9,7,11,24,30,-6,34,Season 61527
12,0,VFL Copenhagen,27,8,6,13,20,32,-12,30,Season 61527
13,0,VFL Vienna,27,7,7,13,27,43,-16,28,Season 61527
14,0,VFL Ankara,27,8,4,15,31,48,-17,28,Season 61527
15,0,VFL Edinburgh,27,5,7,15,21,37,-16,22,Season 61527
16,0,VFL Bern,27,3,6,18,25,50,-25,15,Season 61527
1,-1,VFL Stockholm,28,15,6,7,43,29,14,51,Season 61527
2,1,VFL Amsterdam,28,14,9,5,39,25,14,51,Season 61527
3,-1,VFL Berlin,28,13,8,7,42,28,14,47,Season 61527
4,-1,VFL London,28,14,4,10,51,36,15,46,Season 61527
5,-1,VFL Lisbon,28,13,7,8,38,27,11,46,Season 61527
6,1,VFL Oslo,28,13,6,9,48,37,11,45,Season 61527
7,-1,VFL Paris,28,13,6,9,33,32,1,45,Season 61527
8,1,VFL Rome,28,12,8,8,40,31,9,44,Season 61527
9,1,VFL Madrid,28,12,7,9,43,31,12,43,Season 61527
10,-1,VFL Brussels,28,9,8,11,24,30,-6,35,Season 61527
11,1,VFL Athens,28,9,8,11,31,38,-7,35,Season 61527
12,0,VFL Copenhagen,28,8,7,13,22,34,-12,31,Season 61527
13,0,VFL Vienna,28,7,8,13,27,43,-16,29,Season 61527
14,0,VFL Ankara,28,8,5,15,31,48,-17,29,Season 61527
15,0,VFL Edinburgh,28,6,7,15,22,37,-15,25,Season 61527
16,0,VFL Bern,28,3,6,19,25,53,-28,15,Season 61527
1,-1,VFL Amsterdam,29,15,9,5,42,25,17,54,Season 61527
2,1,VFL Stockholm,29,16,6,7,46,30,16,54,Season 61527
3,-1,VFL Lisbon,29,14,7,8,39,27,12,49,Season 61527
4,-1,VFL Oslo,29,14,6,9,50,37,13,48,Season 61527
5,-1,VFL Rome,29,13,8,8,46,31,15,47,Season 61527
6,1,VFL Berlin,29,13,8,8,42,30,12,47,Season 61527
7,1,VFL London,29,14,4,11,51,42,9,46,Season 61527
8,1,VFL Paris,29,13,7,9,34,33,1,46,Season 61527
9,0,VFL Madrid,29,12,7,10,43,32,11,43,Season 61527
10,-1,VFL Athens,29,9,9,11,32,39,-7,36,Season 61527
11,1,VFL Brussels,29,9,8,12,24,33,-9,35,Season 61527
12,0,VFL Copenhagen,29,9,7,13,24,35,-11,34,Season 61527
13,0,VFL Vienna,29,7,8,14,28,45,-17,29,Season 61527
14,0,VFL Ankara,29,8,5,16,32,51,-19,29,Season 61527
15,0,VFL Edinburgh,29,6,8,15,24,39,-15,26,Season 61527
16,0,VFL Bern,29,3,7,19,27,55,-28,16,Season 61527
1,-1,VFL Stockholm,30,17,6,7,47,30,17,57,Season 61527
2,1,VFL Amsterdam,30,15,10,5,43,26,17,55,Season 61527
3,-1,VFL Rome,30,14,8,8,51,32,19,50,Season 61527
4,1,VFL Lisbon,30,14,7,9,39,29,10,49,Season 61527
5,-1,VFL Paris,30,14,7,9,36,33,3,49,Season 61527
6,1,VFL Oslo,30,14,6,10,51,39,12,48,Season 61527
7,1,VFL Berlin,30,13,9,8,44,32,12,48,Season 61527
8,-1,VFL Madrid,30,13,7,10,49,33,16,46,Season 61527
9,1,VFL London,30,14,4,12,51,43,8,46,Season 61527
10,-1,VFL Brussels,30,10,8,12,26,34,-8,38,Season 61527
11,1,VFL Athens,30,9,10,11,34,41,-7,37,Season 61527
12,0,VFL Copenhagen,30,9,8,13,25,36,-11,35,Season 61527
13,0,VFL Vienna,30,7,9,14,29,46,-17,30,Season 61527
14,0,VFL Ankara,30,8,6,16,33,52,-19,30,Season 61527
15,0,VFL Edinburgh,30,6,8,16,25,44,-19,26,Season 61527
16,0,VFL Bern,30,3,7,20,28,61,-33,16,Season 61527
1,0,VFL Ankara,1,1,0,0,3,0,3,3,Season 61526
2,0,VFL Amsterdam,1,1,0,0,2,0,2,3,Season 61526
